Gene	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
CCNJP1	0	0	0	0	0	0	0	0	0	0
CCNJP2	0	0	0	0	0	0	0	0	0	0
CCNK	51	53	192	831	382	696	469	326	741	943
CCNL1	705	532	1176	5613	3053	3966	1554	937	2680	1694
CCNL2	951	1987	2210	4471	4572	4154	1365	1031	2556	1450
CCNL2P1	0	0	1	0	0	0	0	0	0	1
CCNO	139	605	56	609	536	73	32	26	50	90
CCNT1	324	213	612	3327	2969	1415	1293	932	1589	1380
CCNT2	258	281	391	1708	1793	1440	1546	921	1790	1504
CCNT2-AS1	8	1	15	50	29	34	51	24	25	24
CCNT2P1	0	0	0	0	0	0	0	0	0	0
CCNY	724	865	1516	3909	4316	3246	3635	2736	3754	3814
CCNYL1	145	162	299	509	913	2383	2317	1051	2092	5715
CCNYL2	0	0	0	0	0	1	6	3	3	0
CCNYL3	0	0	0	0	0	0	0	0	0	0
CCP110	84	61	263	498	929	633	625	510	780	621
CCPG1	120	53	232	571	1519	640	888	682	914	904
CCR1	65	26	387	859	159	298	1434	416	432	1005
CCR10	12	21	36	135	16	64	63	49	103	101
CCR12P	0	0	0	1	0	2	0	0	3	0
CCR2	15	9	81	359	36	265	676	397	395	736
CCR3	4	0	40	46	8	5	56	12	10	32
CCR4	19	9	64	399	20	80	86	31	160	94
CCR5	21	19	204	832	53	186	423	253	466	906
CCR6	0	0	6	12	8	20	13	5	54	14
CCR7	27	14	83	585	33	329	249	98	936	259
CCR8	0	1	5	76	2	1	3	2	4	9
CCR9	0	1	4	6	4	25	8	8	59	58
CCRL2	269	197	393	522	984	918	1042	424	930	1271
CCRN4L	49	52	163	349	174	404	226	48	144	493
CCS	354	809	749	1430	1142	1632	1223	949	1333	1437
CCSAP	66	62	99	891	604	215	335	212	278	373
CCSER1	47	24	148	710	420	225	207	107	237	197
CCSER2	254	218	1050	1314	1862	1699	2376	1783	1680	1678
CCT2	3473	3231	3427	11941	6201	4694	6836	3453	6104	6005
CCT3	4630	8355	7052	11307	22653	8172	9723	6392	10030	10991
CCT4	2483	2178	3540	22783	14092	4170	6813	4270	5658	6159
CCT4P1	2	0	1	0	0	0	0	0	0	0
CCT4P2	0	1	1	1	0	1	0	0	0	0
CCT5	3523	5499	7160	11667	13847	6614	7824	4023	8225	10256
CCT5P1	2	7	4	5	3	1	3	0	2	1
CCT5P2	2	9	3	0	4	0	1	0	1	1
CCT6A	3322	2598	4644	12751	13839	5069	6628	3774	7169	7823
CCT6B	16	7	73	186	65	68	78	36	94	20
CCT6P1	51	46	97	610	220	135	188	101	109	57
CCT6P2	11	10	7	2	0	0	3	0	2	1
CCT6P3	43	40	41	154	123	83	71	56	121	44
CCT6P4	0	1	1	0	0	0	1	0	0	0
CCT7	5580	7538	7061	21098	18696	7946	10815	6455	9692	11442
CCT7P1	2	16	4	0	1	1	0	0	0	1
CCT7P2	0	0	1	1	0	0	0	0	0	0
CCT8	2540	1139	3243	11638	8515	5163	6432	3834	6643	7645
CCT8L1P	0	0	0	1	0	0	0	0	1	0
CCT8L2	0	0	0	0	0	0	0	0	0	0
CCT8P1	18	21	29	81	55	132	40	50	135	94
CCZ1	50	27	91	627	250	351	295	191	222	239
CCZ1B	60	36	143	256	632	258	478	235	304	386
CD101	13	45	100	188	25	179	144	98	167	340
CD109	63	3	379	1198	375	372	397	1179	388	160
CD14	657	883	2499	7603	991	5428	6969	3853	5529	1821
CD151	5273	15565	12842	11075	22735	15641	10697	12793	15216	13540
CD160	3	7	6	24	12	55	61	63	72	264
CD163	220	114	1341	1786	351	1407	2654	2828	1253	3367
CD163L1	95	92	211	212	226	2930	597	781	1921	573
CD164	3595	7333	9380	12643	31202	31115	23833	16489	34110	34346
CD164L2	0	2	6	47	8	4	37	0	4	9
CD177	39	4	537	12	10	37983	7983	4671	39882	44034
CD177P1	0	0	1	0	0	495	7	39	145	533
CD180	17	8	165	300	69	314	234	363	1246	408
CD19	1	18	65	90	9	349	78	59	1691	108
CD1A	6	5	13	76	55	17	27	12	37	5
CD1B	0	0	9	164	2	3	24	8	4	6
CD1C	2	5	96	153	43	203	369	209	584	87
CD1D	46	42	118	283	60	572	385	212	698	258
CD1E	7	2	36	132	20	36	68	41	65	20
CD2	31	25	196	1769	98	398	593	320	988	900
CD200	108	83	241	312	223	409	552	259	583	289
CD200R1	5	3	41	156	55	93	169	104	119	135
CD200R1L	8	0	2	17	2	0	1	0	1	1
CD207	0	3	57	27	62	90	35	42	115	51
CD209	46	47	260	617	44	1200	1672	829	1016	2384
CD22	5	12	137	135	51	1051	164	112	6255	307
CD226	8	0	40	196	21	136	198	79	165	243
CD24	8218	9011	10007	3594	34025	56484	61942	31656	48033	146915
CD244	2	0	34	193	6	77	139	63	92	217
CD247	30	10	107	846	19	379	246	136	567	722
CD248	662	298	2752	1633	943	1619	1057	2014	1361	916
CD24P2	0	2	0	0	1	0	0	0	0	1
CD24P4	10	51	11	1	17	8	26	4	17	50
CD27	29	24	101	493	20	420	397	260	1047	535
CD27-AS1	170	384	395	1219	1026	562	826	676	453	365
CD274	14	6	48	587	64	103	1152	125	132	689
CD276	1378	2975	2974	2749	5028	2189	1599	1382	2488	1367
CD28	10	8	106	308	22	170	201	88	427	326
CD2AP	570	172	839	2502	7280	8826	3882	3625	6712	13995
CD2BP2	819	1288	3942	2502	5008	3285	3077	2361	3565	3903
CD300A	155	78	284	1657	141	472	1174	510	492	856
CD300C	43	31	63	146	51	61	179	82	53	132
CD300E	72	7	34	156	23	16	131	67	19	81
CD300LB	4	6	63	71	8	56	85	70	52	52
CD300LD	0	1	0	3	0	0	1	0	1	0
CD300LF	21	13	158	639	70	159	236	128	189	315
CD300LG	0	1	74	1	3	14	36	110	29	10
CD302	19	5	52	152	477	363	655	474	499	286
CD320	1802	4448	2526	3392	3893	2609	1931	1576	3063	2083
CD33	20	10	141	190	31	153	279	177	165	307
CD34	224	202	1167	1144	1516	1532	1494	2906	1244	807
CD36	53	21	763	447	138	1502	2458	2487	1345	1220
CD37	125	123	679	1655	166	1251	572	511	4087	770
CD38	34	10	106	621	24	346	529	205	1070	1145
CD3D	43	29	191	832	23	237	519	196	540	912
CD3E	59	54	279	1870	74	747	813	382	1548	1751
CD3EAP	110	118	94	361	292	124	135	61	142	111
CD3G	10	6	53	469	23	144	254	116	362	585
CD4	364	186	1852	4029	583	2855	2729	2187	3418	3464
CD40	106	49	334	1459	551	468	1708	581	1134	1451
CD40LG	5	8	29	35	15	69	80	31	203	138
CD44	2739	4299	7373	32016	6728	4503	7712	4518	7078	6216
CD46	4956	4593	7270	16118	62527	9925	10049	6377	11163	10951
CD46P1	0	0	0	2	0	0	0	0	0	1
CD47	926	550	1931	6913	5841	3712	6279	2974	4070	5138
CD48	100	11	469	2013	101	787	1872	688	1725	1298
CD5	138	54	111	582	119	354	236	138	699	411
CD52	82	75	768	2035	129	789	1816	611	2744	1316
CD53	446	127	1648	3945	417	1607	3278	1287	4470	3261
CD55	1409	837	6376	11193	8347	3273	6003	2404	2418	3411
CD58	267	93	314	585	688	786	1002	471	833	779
CD59	3765	2120	7815	11372	12694	8008	18538	13221	9605	10329
CD5L	0	3	1	1	2	0	4	0	3	3
CD6	79	72	292	960	153	456	312	204	990	697
CD63	11762	6627	20394	43435	55819	29993	48558	24985	33443	39768
CD68	3	7	20	232	118	59	48	110	47	66
CD69	52	9	260	532	28	405	490	174	359	497
CD7	122	34	164	1108	20	591	462	338	699	1761
CD70	53	10	40	82	29	20	27	16	47	20
CD72	48	16	160	703	136	157	197	46	732	191
CD74	7129	4509	39055	108979	22118	53402	100009	37778	85438	151052
CD79A	75	35	343	632	15	2047	841	895	8750	1186
CD79B	35	15	224	402	54	547	295	263	3827	306
CD80	14	2	17	192	24	16	78	25	78	48
CD81	6064	14428	17052	21435	19261	11438	18490	21234	13688	9652
CD81-AS1	1	2	1	6	3	2	4	10	4	0
CD82	655	1127	1600	3585	5143	2009	1340	1188	3714	2267
CD83	95	85	485	976	514	1086	458	208	1215	461
CD84	35	27	443	935	208	447	413	368	974	567
CD86	46	14	287	1694	180	309	738	379	494	545
CD8A	33	9	113	1705	31	363	681	302	619	1199
CD8B	27	3	29	321	353	85	241	90	125	297
CD8BP	0	0	4	40	40	6	15	0	10	3
CD9	6637	9774	14829	57402	50266	30268	26414	18073	27581	23518
CD93	400	286	1581	1937	1694	2443	1463	1910	1554	1745
CD96	21	7	66	720	52	383	342	225	588	977
CD97	1923	7612	6883	8654	8378	8362	4533	4033	7125	11669
CD99	4020	372	3707	5883	12731	7225	12226	6399	10322	6729
CD99L2	479	734	1271	1261	1448	1447	2225	2541	1373	1680
CD99P1	71	42	97	409	323	152	86	131	267	104
CDA	141	40	1082	530	398	857	1143	501	1397	359
CDADC1	88	57	100	419	614	294	405	259	306	292
CDAN1	109	173	210	602	717	669	290	306	747	467
CDC123	1086	1310	1573	5747	5547	2194	2920	1562	2647	2663
CDC14A	76	15	94	296	509	1040	504	478	886	1265
CDC14B	186	144	217	1085	2369	1291	743	767	1229	1032
CDC14C	0	0	0	0	1	1	0	1	0	0
CDC16	931	890	1295	2039	9158	2476	1945	1361	2549	2374
CDC20	1117	1462	928	3440	1013	1592	943	955	1869	4114
CDC20B	0	0	0	3	2	0	0	0	0	2
CDC20P1	2	11	16	25	3	2	15	27	34	103
CDC23	239	281	610	1392	1908	1365	1391	984	1655	1732
CDC25A	200	210	222	362	648	418	401	163	548	885
CDC25B	1614	3299	3028	5674	2444	1419	1485	1039	1963	3628
CDC25C	75	51	164	434	425	206	128	116	242	436
CDC26	81	37	113	601	440	272	463	233	294	354
CDC27	312	127	582	2879	2139	1563	2243	1497	2101	3138
CDC27P1	0	0	0	1	0	0	0	0	0	0
CDC27P2	0	1	0	0	0	0	0	0	0	0
CDC34	1436	3244	2700	2746	4765	2411	2245	1373	2119	2329
CDC37	2881	9064	6686	8187	10670	8298	7595	4548	8472	8592
CDC37L1	160	72	237	1542	985	641	946	617	722	561
CDC37L1-AS1	4	6	4	28	28	32	9	9	11	5
CDC37P1	0	1	0	2	0	0	4	3	3	1
CDC40	216	125	266	904	1280	1009	1029	697	1336	1257
CDC42	1621	733	4054	14013	9185	12390	20537	9601	13741	19066
CDC42-IT1	0	1	0	8	1	2	0	0	2	1
CDC42BPA	275	392	866	1886	2532	4028	2006	2930	3093	3438
CDC42BPB	1064	3535	2993	2198	4105	7932	3115	3354	6478	7509
CDC42BPG	276	980	662	687	1892	5387	598	556	3546	3456
CDC42EP1	2153	2352	3685	8624	3445	4429	2947	1752	4742	2964
CDC42EP2	412	369	990	1357	934	522	647	590	441	432
CDC42EP3	306	82	777	1132	1370	1288	2737	2511	1984	1920
CDC42EP3P1	0	0	0	4	1	0	0	0	0	0
CDC42EP4	636	2682	1727	5429	4234	4422	4074	4219	4217	5446
CDC42EP5	1153	1731	2248	6661	3513	4771	3598	1530	4571	4349
CDC42P1	0	0	0	3	1	0	1	0	1	1
CDC42P2	0	0	0	0	0	0	1	0	0	0
CDC42P3	1	0	0	1	1	0	1	1	0	1
CDC42P4	0	0	1	3	1	1	0	0	5	1
CDC42P5	0	0	1	2	3	1	3	2	1	2
CDC42P6	2	9	13	41	15	14	31	16	21	28
CDC42SE1	924	826	1659	4205	4942	3771	3240	2043	3675	3830
CDC42SE2	833	571	2206	6035	6322	8451	8624	4173	8927	12926
CDC45	428	460	374	1156	340	321	606	166	551	534
CDC5L	453	259	655	1763	3735	2104	2015	1544	2626	2685
CDC6	311	244	428	1980	1030	486	862	283	974	1298
CDC7	63	44	77	637	103	217	329	103	342	393
CDC73	345	213	549	2557	2539	1553	2283	1392	1933	1979
CDCA2	65	22	67	408	188	217	171	136	453	693
CDCA3	338	418	345	1487	591	462	221	228	596	906
CDCA4	418	663	576	1380	528	450	652	322	725	706
CDCA4P1	0	1	1	2	0	6	0	3	4	2
CDCA4P2	0	0	3	0	0	1	4	0	0	0
CDCA4P3	0	0	0	0	0	0	0	0	0	0
CDCA4P4	0	2	0	2	5	4	4	4	1	2
CDCA5	458	426	692	2219	1487	684	714	402	1353	1845
CDCA7	1382	1631	2222	1783	2538	1925	1898	902	4181	2176
CDCA7L	266	465	543	762	1762	1009	955	830	1814	969
CDCA8	618	918	674	2809	900	954	704	555	1524	2257
CDCP1	737	1244	2105	2370	3957	7347	3203	2102	5435	12571
CDCP2	0	3	1	2	3	2	2	0	1	0
CDH1	5638	11206	17326	16768	29938	44790	11209	15028	41688	60875
CDH10	0	0	3	0	1	3	26	20	10	7
CDH11	728	271	1995	2478	2251	790	723	806	995	697
CDH12	0	0	0	0	0	1	2	2	0	3
CDH12P1	0	0	0	0	0	0	0	0	0	0
CDH12P2	0	0	0	0	0	0	0	0	0	0
CDH12P3	0	0	0	0	0	0	0	0	0	0
CDH12P4	0	0	0	0	0	0	0	0	0	0
CDH13	378	175	368	404	888	464	444	619	440	181
CDH15	7	2	4	18	5	2	3	3	8	7
CDH16	26	0	4	60	9	25	6	5	22	5
CDH17	6517	8014	11001	26776	73738	44913	15545	22382	41016	62111
CDH18	0	0	1	7	5	2	6	7	1	1
CDH19	0	0	85	21	47	73	1817	922	139	108
CDH2	48	9	101	58	99	56	319	307	72	61
CDH20	0	2	1	2	2	1	2	5	1	0
CDH22	8	0	5	1	1	31	18	5	40	8
CDH23	12	151	159	153	43	410	75	121	231	99
CDH23-AS1	0	0	0	0	0	0	0	0	0	0
CDH24	74	361	297	654	332	312	214	151	317	467
CDH26	6	10	10	9	48	28	8	16	27	8
CDH3	960	2957	3669	7552	5146	56	203	26	225	24
CDH4	4	29	11	3	20	19	10	9	16	11
CDH5	310	357	1023	898	976	1088	639	1385	1238	601
CDH6	27	30	130	136	241	27	76	112	70	51
CDH7	3	1	0	1	6	4	4	0	12	0
CDH8	3	0	8	1	5	2	12	13	10	2
CDH9	0	0	0	1	0	1	9	1	0	0
CDHR1	571	5390	937	302	3146	10920	1531	851	8708	1455
CDHR2	521	993	4557	486	6598	5949	3709	3101	6590	14812
CDHR3	30	50	67	652	162	393	312	279	275	154
CDHR4	0	0	2	2	1	6	1	2	0	0
CDHR5	2688	9025	4092	1060	6420	31848	5885	9518	25159	29900
CDIP1	204	68	1149	1102	1475	1268	1055	1105	1364	1134
CDIPT	882	2666	4764	4386	6216	4258	3082	3483	3775	3343
CDIPT-AS1	0	0	3	23	7	3	5	4	1	0
CDK1	561	146	552	2838	2634	807	1211	646	1479	2143
CDK10	920	4102	1934	3118	3547	3645	1237	863	2096	1448
CDK11A	72	3	56	400	541	591	327	146	395	280
CDK11B	396	727	1052	1297	2162	2246	947	962	2139	2072
CDK12	284	561	839	2383	4797	2724	1409	1300	3124	2851
CDK13	521	531	1140	2298	2864	2450	1099	1051	2826	2522
CDK14	88	7	266	811	227	270	676	575	635	243
CDK15	0	0	4	9	5	39	13	39	31	42
CDK16	1755	6696	3519	5043	3629	5267	2364	2078	4012	5203
CDK17	138	59	364	1258	818	778	1010	900	1012	986
CDK18	389	1842	893	2185	3139	2647	627	654	1737	1582
CDK19	194	203	382	1544	1662	1616	725	934	1947	1702
CDK2	401	264	547	3736	2977	983	1326	644	1308	1059
CDK20	45	415	168	510	189	626	321	341	427	582
CDK2AP1	534	650	1298	2629	1865	1120	3323	1493	1585	1777
CDK2AP2	1372	1049	1942	4842	4315	3820	3491	1583	3274	6515
CDK2AP2P2	0	0	0	0	1	0	2	1	2	0
CDK2AP2P3	0	0	0	0	0	1	0	0	0	0
CDK3	9	9	2	33	29	63	4	2	24	12
CDK4	1838	2240	2159	9840	9186	1749	3443	1893	2736	2372
CDK5	374	350	664	1388	919	542	532	342	575	546
CDK5PS	0	1	1	0	0	0	0	0	1	0
CDK5R1	34	72	61	150	112	142	61	79	394	162
CDK5R2	0	24	17	0	55	29	66	47	51	15
CDK5RAP1	380	781	757	1563	2304	1007	720	548	1007	1007
CDK5RAP2	271	424	655	1482	2169	2021	1008	1279	2411	2052
CDK5RAP3	1124	3076	2200	7397	3254	4637	1952	1331	3132	2525
CDK6	355	280	861	1948	3225	2459	837	740	2505	1542
CDK7	276	195	659	1806	2467	817	892	507	874	865
CDK8	396	691	683	1372	3424	958	1827	813	900	1211
CDK9	769	2011	1459	2378	2529	2487	1653	1397	2342	2581
CDKAL1	182	136	227	658	918	547	587	405	693	712
CDKL1	24	14	49	69	46	399	220	117	305	259
CDKL2	2	1	19	6	45	81	113	76	101	22
CDKL3	2	5	7	21	35	13	20	7	19	8
CDKL4	0	0	0	6	5	0	1	0	3	0
CDKL5	43	83	129	267	282	377	219	269	346	336
CDKN1A	2759	1496	3618	3945	3435	17232	13676	5060	12395	26770
CDKN1B	721	385	1129	5614	7696	3362	3722	2740	3452	3468
CDKN1C	185	42	405	497	1143	281	467	602	257	253
CDKN2A	182	149	387	6934	451	33	98	29	74	37
CDKN2A-AS1	0	0	0	10	0	0	1	0	0	0
CDKN2AIP	301	185	372	1931	3049	1453	1473	970	1395	1235
CDKN2AIPNL	283	149	512	1245	966	668	1127	487	837	720
CDKN2AIPNLP1	0	1	0	0	1	0	0	0	0	0
CDKN2AIPNLP2	0	0	0	0	0	0	0	0	0	0
CDKN2AIPNLP3	0	0	0	0	0	0	0	0	0	0
CDKN2B	207	63	504	1196	750	6788	1590	2114	5838	9291
CDKN2B-AS	0	0	0	1	0	25	3	7	27	27
CDKN2B-AS1	10	2	119	132	8	2610	1191	736	2080	1687
CDKN2B-AS_3	0	0	0	0	0	0	0	0	0	0
CDKN2C	97	92	249	553	268	513	1068	662	772	1152
CDKN2D	95	463	236	414	369	429	480	291	361	678
CDKN3	281	58	274	1176	238	290	430	235	440	835
CDNF	4	6	15	131	43	57	28	29	51	35
CDO1	7	2	54	31	18	41	247	114	33	24
CDON	11	16	195	344	219	263	523	916	158	143
CDPF1	74	61	209	340	172	261	352	253	290	183
CDR1	0	0	2	0	0	0	0	1	1	1
CDR1-AS	0	0	0	0	0	0	0	0	0	0
CDR2	476	530	2007	2732	4190	1673	1319	777	1443	1225
CDR2L	221	279	464	1379	501	289	287	320	225	169
CDRT1	13	1	3	34	3	4	3	2	2	0
CDRT15	0	1	1	6	9	13	0	0	12	5
CDRT15L2	0	0	0	0	0	1	0	0	0	1
CDRT15P1	0	0	2	14	6	13	2	0	16	4
CDRT15P2	0	0	0	0	0	0	0	0	0	0
CDRT4	2	2	2	48	13	36	7	11	28	13
CDRT7	0	0	0	0	0	0	0	0	0	0
CDRT8	0	0	0	0	0	0	0	0	0	0
CDS1	383	225	680	1691	2606	4178	1540	1422	3944	3453
CDS2	617	1038	1416	3010	1830	3015	2296	2480	2828	2895
CDSN	0	2	4	3	7	2	0	1	2	1
CDT1	468	2842	1427	2325	1188	831	618	366	1229	1764
CDV3	1284	915	2390	4432	7016	7009	4542	4181	8232	10053
CDV3P1	0	1	2	0	0	0	0	0	0	1
CDX1	2986	5832	6844	5611	7051	15737	8305	5355	14155	14193
CDX2	2369	6437	2332	7272	19348	13445	9788	4894	12169	19486
CDX4	0	0	0	1	0	0	0	0	0	0
CDY1	0	0	0	0	0	0	0	0	0	0
CDY10P	0	0	0	0	0	0	0	0	0	0
CDY11P	0	0	0	0	1	0	0	0	0	0
CDY12P	0	0	0	0	0	0	0	0	0	0
CDY13P	0	0	0	0	0	0	0	0	0	0
CDY14P	0	0	0	0	0	0	0	0	0	0
CDY15P	0	0	0	0	0	0	0	0	0	0
CDY17P	0	0	0	0	0	0	0	0	0	0
CDY18P	0	0	0	0	0	0	0	0	0	0
CDY19P	0	0	0	0	0	0	0	0	0	0
CDY1B	0	0	0	0	0	0	0	0	0	0
CDY20P	0	0	0	0	0	0	0	0	0	0
CDY22P	0	0	0	0	0	0	0	0	0	0
CDY23P	0	0	0	0	0	0	0	0	0	0
CDY2A	0	0	0	0	0	0	0	0	0	0
CDY2B	0	0	0	0	0	0	0	0	0	0
CDY3P	0	0	0	0	0	0	0	0	0	0
CDY4P	0	0	0	0	0	0	0	0	0	0
CDY5P	0	0	0	0	0	0	0	0	0	0
CDY6P	0	0	0	0	0	0	0	0	0	0
CDY7P	0	0	0	0	0	0	0	0	0	0
CDY8P	0	0	0	0	0	0	0	0	0	0
CDY9P	0	0	0	0	0	0	0	0	0	0
CDYL	327	389	718	1312	3374	1854	1256	957	1926	1646
CDYL2	93	105	141	682	472	332	171	153	546	209
CEACAM1	3696	3327	2483	5012	23708	24228	45659	23310	19962	144698
CEACAM16	4	5	3	6	1	13	5	6	12	5
CEACAM18	37	0	31	255	5	0	0	0	0	0
CEACAM19	79	165	67	298	446	309	56	39	279	94
CEACAM20	0	0	0	15	0	7	6	1	3	9
CEACAM21	14	2	39	129	25	50	116	46	151	125
CEACAM22P	0	1	1	16	2	13	3	0	8	28
CEACAM3	13	7	27	27	5	152	97	29	140	72
CEACAM4	3	1	5	42	0	3	28	12	3	6
CEACAM5	32569	58021	54823	20634	175412	121446	139099	73404	162090	433337
CEACAM6	17750	15229	31078	17004	74391	15888	49543	12643	27780	99658
CEACAM7	828	1123	3007	132	88	42335	88384	64042	91237	307491
CEACAM8	8	26	2	2	11	76	7	10	10	19
CEACAMP1	6	7	1	0	0	1	1	0	1	1
CEACAMP10	0	0	0	1	0	0	0	0	0	0
CEACAMP11	0	0	0	0	0	0	0	0	0	0
CEACAMP2	0	0	0	0	0	0	0	0	0	0
CEACAMP3	0	0	0	1	0	0	0	0	0	0
CEACAMP4	0	0	0	0	1	0	0	0	0	0
CEACAMP5	2	1	0	0	0	0	0	0	1	1
CEACAMP6	0	0	0	0	0	0	0	0	0	0
CEACAMP7	0	0	0	0	0	0	0	0	0	0
CEACAMP8	0	1	0	0	0	0	0	0	0	0
CEACAMP9	0	0	0	0	0	0	0	0	0	0
CEBPA	469	1191	1124	2516	1371	2399	1166	940	1909	3527
CEBPA-AS1	56	118	97	346	464	409	159	139	469	339
CEBPB	994	1313	2647	3184	3361	1195	1081	556	724	739
CEBPB-AS1	5	8	15	10	98	46	42	45	45	20
CEBPD	650	220	1975	2063	854	2071	1457	908	1350	1086
CEBPE	0	1	44	41	2	6	87	5	5	39
CEBPG	872	997	1280	9316	5351	4582	3257	2472	4408	7072
CEBPZ	324	183	577	2088	3919	1803	2171	1224	2195	1726
CEBPZOS	423	280	450	2405	3734	1729	2380	1030	1749	1385
CECR1	143	89	1269	2492	418	3416	1922	2025	3942	3176
CECR2	36	27	40	5	11	41	20	46	29	13
CECR3	0	4	2	14	2	4	1	1	2	2
CECR5	907	1746	1462	4288	1022	2286	2459	1219	2433	2049
CECR5-AS1	7	17	9	15	1	5	8	2	7	0
CECR6	9	9	20	45	5	30	17	26	22	39
CECR7	0	22	6	183	3	20	37	63	153	21
CECR9	0	0	0	0	0	0	0	0	0	0
CEL	670	1054	189	61	1101	25	14	6	73	33
CELA1	0	0	0	3	1	3	2	1	1	0
CELA2A	0	0	0	6	0	2	0	0	1	0
CELA2B	1	0	1	15	3	3	1	0	3	0
CELA3A	0	0	6	4	11	43	0	5	11	26
CELA3B	0	0	10	1	5	33	1	10	17	32
CELF1	698	824	1462	3657	3611	5148	2625	2526	4893	4546
CELF2	257	318	648	1254	1841	2600	2182	2723	3396	2272
CELF2-AS1	0	3	8	5	4	9	7	6	26	7
CELF2-AS2	0	0	0	0	0	0	0	0	0	0
CELF3	48	96	16	10	48	113	130	98	177	57
CELF4	7	1	14	11	10	31	91	97	42	30
CELF5	18	68	54	55	56	76	27	28	41	11
CELF6	0	0	0	3	0	2	1	1	2	1
CELP	101	80	97	5	262	143	2	5	57	30
CELSR1	373	2542	745	349	2807	731	314	123	1349	170
CELSR2	98	375	205	505	1009	530	331	468	715	388
CELSR3	112	1127	57	150	322	188	56	60	265	125
CELSR3-AS1	2	0	2	1	20	2	3	1	3	4
CEMIP	1506	3823	4044	517	17600	129	147	79	221	163
CEMP1	0	0	0	0	0	0	0	0	0	0
CEND1	1	8	18	25	18	29	169	159	44	20
CEND1P1	0	0	0	0	0	0	0	0	0	0
CENPA	78	58	160	627	252	160	126	128	232	434
CENPB	1928	6352	3799	3442	2302	4755	3137	3005	4138	5050
CENPBD1	15	34	50	124	288	152	183	159	240	181
CENPBD1P1	234	414	488	1729	1497	1238	935	645	1222	1044
CENPC	89	43	210	639	1204	767	535	485	929	757
CENPCP1	6	0	2	5	3	0	2	0	2	3
CENPE	59	14	83	482	403	432	148	141	492	661
CENPF	253	224	371	790	1559	1464	268	554	1743	2788
CENPH	69	84	279	371	470	228	357	193	451	518
CENPI	53	79	96	379	175	120	122	80	184	345
CENPIP1	0	0	0	0	0	0	0	0	0	0
CENPJ	123	213	158	512	1124	551	259	224	467	389
CENPK	120	25	106	395	576	223	623	147	374	391
CENPL	86	94	83	521	336	208	252	142	316	396
CENPM	330	603	498	1500	231	540	681	261	789	1276
CENPN	162	202	302	1369	647	287	412	162	385	584
CENPO	125	256	214	700	583	513	328	257	602	867
CENPP	58	58	94	326	140	80	138	74	169	166
CENPQ	77	13	90	391	496	199	250	164	291	128
CENPT	564	1144	990	2184	850	1415	733	563	892	707
CENPU	282	48	52	1813	568	444	701	155	749	1194
CENPUP1	0	0	0	0	0	0	0	0	0	0
CENPUP2	0	0	0	0	0	1	0	1	5	1
CENPV	705	372	537	5678	1343	1271	976	599	1188	1479
CENPVP1	0	0	0	0	0	0	0	0	0	0
CENPVP3	0	0	0	0	1	0	0	0	1	0
CENPW	232	157	451	1434	708	400	481	264	458	859
CEP104	328	508	835	1101	2336	1855	1008	803	1595	1519
CEP112	48	20	136	110	261	158	310	215	161	124
CEP120	127	66	284	902	1235	757	750	561	934	1073
CEP128	24	24	65	158	62	135	96	108	221	274
CEP131	98	517	435	720	497	591	190	274	700	508
CEP135	45	10	105	749	558	357	301	180	585	292
CEP152	36	40	82	470	322	329	112	134	364	265
CEP162	35	15	94	175	587	384	286	217	340	391
CEP164	184	354	570	836	951	897	428	424	957	585
CEP164P1	4	0	1	10	3	2	1	1	2	0
CEP170	50	28	147	606	595	311	467	432	576	289
CEP170B	983	3544	2754	2408	3214	11718	2295	2340	8115	8437
CEP170P1	0	0	2	11	1	3	3	4	8	6
CEP19	12	10	23	81	76	43	84	63	87	55
CEP192	72	111	239	1073	586	1534	599	594	1985	1105
CEP250	416	1279	1427	1030	2284	1885	424	697	1994	1491
CEP290	24	19	91	201	393	545	281	217	527	227
CEP295	60	27	83	447	410	420	267	168	485	379
CEP350	193	222	423	1339	2019	2047	1106	1065	2583	2420
CEP41	112	102	299	267	515	410	401	267	467	382
CEP44	104	78	164	640	929	571	848	469	693	453
CEP55	167	134	371	1216	939	598	527	334	800	1383
CEP57	379	216	562	2435	2445	1243	1664	1230	1962	1415
CEP57L1	40	13	108	300	188	285	483	248	282	442
CEP57L1P1	0	0	0	1	2	0	1	0	0	3
CEP63	121	84	247	377	1339	856	731	667	1006	851
CEP68	222	350	604	1333	1744	1287	1370	1419	1337	815
CEP70	138	66	131	981	247	937	1248	663	954	2226
CEP72	99	244	268	426	291	143	90	59	178	198
CEP76	35	34	147	563	329	228	301	170	343	412
CEP78	158	102	209	1238	694	593	560	382	779	920
CEP83	95	48	121	999	274	335	382	172	410	271
CEP83-AS1	2	0	7	49	9	9	18	15	28	10
CEP85	81	212	331	1550	358	930	513	282	933	676
CEP85L	11	6	41	121	59	208	145	171	383	137
CEP89	288	488	470	2299	1506	837	854	557	862	745
CEP95	262	151	367	1957	1639	1045	535	379	975	570
CEP97	34	22	91	536	390	278	305	224	485	277
CEPT1	252	125	349	2161	1114	980	1201	679	1225	1201
CER1	4	0	3	0	2	0	1	0	0	1
