Gene	Length
RP11-424M24.3	713
RNU1-129P	167
RP11-201A3.1	2277
IGHV5-78	295
AL592205.1	94
FANK1	3384
CLPSL2	611
ZNF880	3719
MFI2	8393
RP11-686D22.7	627
RP11-84C13.2	588
RP11-81M19.1	3198
PTPRD-AS1	2494
RP11-433B3.1	153
RP11-401N18.1	584
AC074264.1	112
TMCO1	5584
AC012499.1	741
RP11-495K9.10	588
RAB5C	2761
AC007386.3	582
RP11-506N2.1	1813
UPP1	4577
MIR6861	64
AP001610.5	1116
AC011748.1	94
RP11-329A6.1	174
CTD-3128G10.6	686
AC093323.1	408
ZNF815P	2362
RPS17P17	409
RP3-453C12.15	1794
RPL36P2	315
CTD-2027I19.2	1056
RPS3AP17	777
AC096640.1	66
SIGLEC26P	277
LL22NC03-24A12.8	163
PSPC1P1	665
RP11-54O7.17	2086
MRPL57P7	258
KDM5B	12092
KRTAP19-3	611
STPG1	8511
AC004985.12	1170
AC011530.4	859
MIR4292	67
PTPRH	4344
RP11-108N13.1	867
RP1-67A8.3	604
OR14A16	930
U3	204
AD000684.2	1016
RP11-573D15.1	330
GLRA3	9599
RN7SKP211	315
AACSP1	3380
AC004941.5	228
COX7A2P2	250
FAM188B	7336
MAP2K7	5145
AC013733.3	635
AC009014.3	1667
RP4-800J21.3	1540
ZNF767P	4012
CTD-2060F24.1	334
RP11-430L16.1	696
AP5S1	5490
GRIP1	6378
RPS29P12	152
VRK3	9796
RP1-197J16.1	392
SRSF10P1	764
AC093642.6	561
SNORD99	74
RP11-56P9.6	816
NDUFAF4P4	502
RP11-361A23.1	300
VENTXP3	773
C6orf229	821
SLC2A1	4927
LEMD1-AS1	2781
RP11-96K19.4	5985
WNT1	1347
MIR8076	83
MIR4635	79
RP11-774O3.3	3249
RP11-622O11.4	204
RP11-403B2.5	1074
RP11-624D20.1	933
MUSK	4182
CDY1	2625
RP11-144G6.13	298
RP11-1078H9.1	426
SNRPCP20	210
POLR2LP	187
APOOP4	597
RNA5SP465	109
DUX4L5	1275
RP11-146F11.1	1148
WASH4P	1246
RNU6-175P	107
SERPINB12	1278
SPINK1	1480
LA16c-329F2.1	468
PHKBP2	708
RP11-124D9.1	747
VSTM2B	1488
HCG27	2354
GNAS-AS1_4	112
RN7SL521P	297
RP11-454E5.4	898
CTC-264O10.2	490
SPATA31D1	5158
MTND4P8	1362
GLYCTK	3013
MASP2	4251
FOXD2-AS1	2509
RP1-283K11.2	317
RPRM	1471
AC084262.2	93
SPAG11B	1973
CTC-523E23.3	2168
RP11-365F18.1	275
MTND1P11	876
XKR5	5031
GPX1P2	606
RNU5E-7P	117
AC022098.1	116
OR2U2P	960
AC012363.7	662
DEFA1	486
RP1-251M9.2	537
RP11-406A9.2	1754
H6PD	9321
RCOR1	6202
GRAMD1C	7814
LINC01429	2326
RP13-672B3.2	567
DPT	1786
RPS6KB1	7687
AC073333.1	381
ADIRF-AS1	5748
RNU6-1206P	103
MIR378D1	54
RP11-522L3.5	659
OFD1P4Y	1179
RP4-756H11.3	938
AC079080.1	75
KCNE4	4124
RP11-364B14.3	819
HOXC13	2423
DAP3P1	278
Hammerhead_HH9	77
RP11-304L19.11	788
FAM217B	5323
RP11-359P5.1	561
CTB-1H10.1	312
AC139143.2	1207
RP11-723D22.3	387
FCGR2B	6911
PCDHGB8P	2873
PHYKPL	8402
VN1R7P	903
CTD-2254N19.1	717
KRT8P10	1447
CTD-2207L17.1	571
RNU7-90P	62
NME2	1241
AC007274.5	662
PHLDA2	955
SMAP1	4161
ASS1P2	1223
RP11-480O10.2	550
AL845259.7	84
RLN1	1102
RP11-313E19.1	1050
IGHV1-12	205
RN7SL193P	276
AC098784.1	284
GPR101	1527
LRRC16B	6665
RP11-452J21.2	414
PPIAP27	265
PPP2R3B	9015
RP11-335E14.1	664
RP11-1042B17.1	288
EVPL	7510
RP11-296E23.2	361
GRAMD4P8	1115
RASA2	5993
SMIM2	824
AC073257.1	523
RP11-21L19.1	240
IL27RA	2962
SRGAP2-AS1	2649
WDR70	7039
CAMSAP1	8642
OR10H1	1124
BRDT	4334
AC010319.1	101
OTUD1	2933
RP11-121A14.2	308
AC009480.3	412
RP11-421L21.2	671
TTLL11	3535
GS1-124K5.8	139
RP11-275H4.1	865
AP000439.3	726
CENPH	2244
RPL7P22	733
OR10R2	1008
RNA5SP442	107
EPB41L2	10247
RP11-588L15.2	862
EPHA3	6674
CENPBD1P1	4969
C2orf27A	2566
RNU6ATAC25P	117
HMGB1P46	610
CTD-3107M8.1	317
AC005363.9	351
C1orf35	4308
LDHA	6210
RP3-446N13.5	677
RN7SL446P	296
XCL1	1367
MIR4740	63
RP1-118J21.25	1196
AC003090.1	2968
DNMT3A	12020
PPIAP16	487
XXbac-BPG299F13.14	517
AC027119.1	467
PDE5A	9775
SNORA31	96
RN7SL648P	301
RNU6-1045P	107
RP11-254A24.2	2018
ZNF304	4609
RP11-483I13.6	2331
RP11-557C18.4	326
ATP6AP2	2573
RN7SL714P	298
KB-1562D12.3	481
XRCC6BP1	1373
PLIN4	6341
AC008079.10	20396
XXbac-BPG249D20.9	851
RP11-104J23.1	1919
RP4-592A1.2	690
RP11-147G16.1	671
DSCR4-IT1	424
RP11-305F5.2	688
PWAR6	4618
RLIMP1	1680
AC096589.1	97
AL390776.1	74
CTD-2517M22.9	398
MIR129-2	108
RP11-4C20.4	371
CTD-2086L14.1	610
TREH	3182
CTA-21C21.1	150
NOP16	2862
GNA12	6120
HEY2	2741
ACOX2	3859
ASUN	3345
PROSER2	3663
PPP1R7	3781
CTD-2280E9.1	563
AP001468.58	557
RN7SL25P	260
MIR6720	98
LINC00501	2046
OR51E2	2872
RNA5SP94	108
RP11-69C13.1	2178
CYP2E1	9621
PES1	4557
ADAM20P2	1273
FBN1	16057
USP3-AS1	3624
IGLC7	441
AC078899.4	212
TP53TG1_2	182
FIG4	3592
HSDL2	3455
RNU6-919P	104
LINC01548	595
RPS13P2	455
RPL31P9	141
LINC00395	669
STARD5	6339
RP3-369A17.2	562
RNU6-1136P	104
PTCD3	10164
ABHD17AP4	909
TRAV5	352
RP11-111A24.2	1448
CTD-2224J9.8	1423
AC093326.1	510
CYP2D6	2443
RP4-607I7.1	1214
NTM	6956
SERF1AP1	187
RP11-164A6.1	604
IFNA1	1153
DLGAP1-AS4	757
RP11-479I16.2	237
ZDHHC20P3	336
MTND3P10	341
CTD-2074D8.1	487
RN7SL177P	299
RNU4-32P	141
RP4-784A16.5	567
RP11-673E1.3	540
RNY1P5	115
SNORA72	129
MIR4480	71
RP11-94B19.3	922
ZNF551	4709
RNU1-59P	162
RNU7-2P	62
TCEB1P13	329
IGKV2D-38	240
RN7SKP132	208
SERPINB3	2182
RNU4-73P	141
RP11-43A1.1	297
ASB2	5040
RNU7-105P	62
RPS6P16	655
RP11-689C9.1	657
CD1C	1435
WFDC6	792
RP4-591B8.3	864
MZT2A	4093
MIR548C	97
FOXO1B	1527
EXOSC7	4442
RNA5SP237	113
AC112249.1	140
ASB16-AS1	2460
TPI1P4	473
OGDHL	5724
RP5-881L22.6	403
IL12A	2040
LINC01299	2634
FGFBP1	1359
BRD9P2	239
CTC-391G2.1	481
FAM86C1	2972
HNRNPA1P40	1278
MATN3	3118
AP001610.9	422
PIGA	3746
AL606500.1	94
RP11-154H23.4	820
RP11-424M21.1	764
MNT	8728
AC093611.2	91
RP11-889L3.1	591
RNA5SP223	120
WDR45BP1	1029
RP11-258C19.4	167
RP11-139I14.2	5586
OR2V2	948
PLOD1	5320
SNCA-AS1	2990
RP11-61J19.2	359
DDX11L10	1723
RP11-539G18.3	2301
RNA5S10	119
RNU6-464P	104
AE000661.50	457
CD79B	2080
RP11-613E4.4	385
SNORD42	69
FARS2	2351
RP11-1143G9.5	5309
DDX60L	12156
AL133245.2	1365
VNN2	2633
RNU6-1307P	103
RNA5SP128	116
RPL13AP23	586
PRKAG2-AS1	1163
FLJ46066	1808
RCN3	2093
PPP4C	2734
COX6CP17	185
RP11-416N2.3	524
RP11-675M1.2	775
JAKMIP3	7608
RP11-144L1.8	2167
RP11-1102P22.3	1370
LA16c-380H5.5	1269
ALDOA	6153
RP11-77P16.3	197
CTAGE6	2608
RP3-435K13.1	229
SMARCC2	8555
RFX4	6783
NRAP	5724
NPM1P19	712
RP11-298C2.1	449
RCAN3	7077
RNU6-18P	107
GALC	6825
ZBTB21	8062
MIR548AM	74
KBTBD8	4736
MIR574	96
RP11-219G17.4	2934
RP11-703G6.1	812
AC012506.3	533
MIR4801	82
AC007557.4	583
LINC00621	1177
MIR378E	79
BCL7C	4398
SNORD114-6	72
AC073635.5	570
DROSHA	7780
MIR569	96
LEMD2	6788
BTLA	3697
MIR5090	85
CTD-2576D5.1	2755
TSPAN19	4085
IGLC3	462
TRAJ36	58
PRDM10	6626
RP11-317P15.4	1376
RNU6-78P	107
DUX4L11	1267
TEDDM1	2500
RP13-221M14.3	1452
CTD-2540B15.6	700
UQCRB	9715
AC011752.1	1076
RP4-734P14.4	823
AL139147.1	111
FAM69B	2704
RP1-128O3.4	632
AC083843.2	849
RNF5	1178
ONECUT1	3850
RP11-360I2.1	291
CD99P1	5921
MIR217	112
POTEC	7118
RN7SL49P	298
BNIP3P32	554
ITFG1-AS1	626
AC108933.1	93
CDK8	3538
USP9YP34	808
CTA-125H2.1	472
AC017006.3	364
RP11-344N17.12	760
TRAJ5	60
LAMA1	15872
RNU6-448P	107
GRPEL2P2	670
RP11-659F24.1	440
PLK3	3479
DOC2A	6426
ULK4P1	1687
MPLKIP	7668
RN7SL144P	295
LIPJ	4528
EN1	2886
SLC22A12	3380
RPL32P31	403
TRIM51	1832
RP11-437J2.4	444
WNK4	5089
RP11-254F19.2	260
RPL19P14	574
RP11-691F15.1	208
NACAP5	636
RP11-64D24.4	3837
SNORA11	128
AC069280.1	84
LINC01562	2366
RP11-468N14.1	733
RGP1	7116
RP5-1022P6.7	395
LTB4R2	3233
RP11-548K12.12	407
RP11-18H21.3	787
PXT1	2108
RNU6-461P	107
MRPL22	5267
FAM205BP	4314
AL008708.1	122
RP11-141B14.2	1173
LINC00989	2231
ARPC3P5	534
RP11-466M21.1	473
RP11-378G13.2	994
NCAN	6905
RP11-144O23.22	922
SNORD6	73
IGHV1OR15-3	351
AC017053.1	579
RP11-159D12.6	1514
CALR4P	946
CTB-180A7.6	447
IGLVV-66	341
RP11-767C6.1	274
EEF1A1P11	1389
RNA5SP273	113
RP11-73B2.7	2910
AL133391.1	68
ALG3P1	1114
DOCK10	11065
RP11-540B6.6	1894
MTND2P5	1006
RP11-650L12.1	325
RP11-600K15.1	2840
CTD-2200P10.3	177
AL020997.1	88
RP11-63G10.2	395
GABRA3	4193
DHDDS	5596
HSFY7P	318
RP11-231E4.5	483
SIAH2-AS1	441
AC006042.6	524
ZEB2_AS1_3	100
RP11-38O23.4	1669
RP11-659O3.1	840
MGA	17651
CTA-722E9.1	1018
CTNNAP1	2728
AC022909.1	99
RP11-313I2.11	486
TBC1D31	8611
ZBTB44	10803
RMI2	2701
C20orf62	890
RPL21P109	475
FAM207BP	505
RP11-30K9.4	526
SCFD2	3185
ERVMER61-1	2395
AC036178.1	91
ARFGEF1	10970
VPS45	6262
RP11-1267H10.1	745
RP11-953B20.1	1793
MALAT1	1589
AC135050.1	108
RP11-966I7.3	375
PGAM1P3	565
NLGN3	4006
RP11-597D13.7	3616
RP13-753N3.1	831
RP11-314A15.2	995
MIR4787	84
ITGB6	6357
USP18	2129
RPL21P11	483
RP11-53O19.3	2517
GDF9	3279
ATP5EP1	156
RP11-712C19.1	246
RNA5SP183	119
LPCAT3	4725
RPL29P2	657
SOSTDC1	2473
ZNF850	7850
RP11-138A23.2	565
RP11-478C6.1	529
RPL12P44	502
DNAJB5P1	806
ATP5A1P10	1603
RN7SKP297	282
HMGB1P30	606
MIR3194	73
RP11-362J17.1	565
RP1-40G4P.1	578
RP11-415C15.1	482
MTND3P5	333
CAND1	13655
KCNJ5	6109
SKP1P1	489
RP4-794I6.4	5678
CTD-2014B16.1	1479
AC006115.6	202
CTD-2117L12.3	406
RP13-616I3.1	1725
RP11-428J1.4	3273
PLEKHM1P	8469
CRYBB1	1102
RP11-254B13.1	888
CAPN3	4671
OR6B3	996
MEP1A	2980
AGXT2	3952
TRAF3IP2	6553
POGK	8448
OR5M8	936
MIR5192	92
RP11-448G15.1	459
OLIG2	3352
PRH1-PRR4	1618
SMARCC1	7645
RP11-115J16.3	563
PRKACB	6730
RN7SL843P	297
RP11-762I7.4	529
PRAMEF25	1863
RNU2-60P	128
RHOT1P2	333
HOOK3	15250
RP11-641C17.4	1258
JPX_2	69
AC017078.1	368
MIR5001	100
SOX17	2342
SETP15	337
P2RY11	2295
RBMS3-AS1	554
BIRC6-AS2	589
RPL36AP48	314
GALNT9	6969
RNU6V	107
AC026799.1	68
RP11-163E9.1	338
RNU6-770P	105
RP5-901A4.4	369
RP11-87H9.2	1664
AC006547.14	1598
ATAD3C	3976
RAD54L	3212
AC013476.1	90
RP11-73M18.10	535
RP11-563N6.6	273
SLC18A2	4125
ARHGEF7-AS2	1239
RP11-115H15.2	493
RP11-665C14.1	207
DENND5A	8648
AC023271.2	458
RP11-122C5.2	584
RNU6-616P	107
AC026241.1	77
RP13-608F4.5	224
ATP6V0E1	1623
CTD-2506J14.1	2014
XKRYP1	492
RP3-331H24.5	732
BTBD16	2406
RP1-196A12.1	278
RP11-410K21.2	635
RP11-357H14.16	2630
RP11-84O12.2	783
AL109805.1	106
RP1-16A9.1	993
DUX4L10	1267
N4BP1	7839
ART5	1691
TBX19	3647
U7	63
CXCR1	2488
AC073135.4	802
AC002464.1	84
RP11-466I1.1	492
RP11-986E7.2	657
RNU6-1082P	107
RPL3P4	423
RP4-616B8.4	187
RP11-563N12.2	983
CTD-2066L21.3	979
AC093763.1	99
snoU13	104
RP11-501O2.1	492
ISLR2	6101
RNU6-377P	102
RNA5SP37	130
MYH7	6087
SNORD63	68
OR51A1P	946
AC121336.1	80
P4HA2-AS1	839
SNORA74A	198
REXO1L8P	1897
KC6	5180
AC008984.6	1067
AKR1C2	6703
RP11-15H20.7	574
RP11-114N19.3	601
ECM1P1	1279
ADCY2	17538
RP11-770E5.2	594
RP11-723O4.3	329
RP11-2I17.4	393
RP11-169K19.1	646
RP11-155G14.5	450
EIF3I	1725
RP13-297E16.4	747
RP11-164P12.3	2565
RP11-413E1.2	142
RP11-368P15.3	366
RP11-830F9.6	1812
TTLL4	7685
TRBV5-5	350
HMGB2	2775
TNFRSF9	6331
FO082796.1	723
SLC15A5	2923
UBE2N	6269
RP11-1105O14.1	467
OR51A3P	924
FAM185A	2729
PDE1C	13821
MIR1202	83
SNORD35B	87
RP11-112L6.3	1064
AL592211.1	109
SLC25A5P4	869
LINC01322	1860
RBBP4	9470
RNVU1-8	125
ABCA1	11350
RP11-484D2.4	183
MYLK-AS1	980
VPS4A	5670
RP1-65J11.1	1326
RNU4-53P	140
LINC01432	677
NIF3L1	1985
ANKRD1	1979
RP11-274J15.2	380
MCOLN2	3442
MUT	3749
RP11-476B13.2	465
VTA1	7262
RP11-26E5.1	281
SIM2	7652
RP11-26C10.1	724
SNORA77	128
TIMM9P1	256
RP11-362F19.1	3750
RP11-360N9.3	1200
ZCCHC17	1921
EML2	8224
CSNK1G2-AS1	1346
LINC01501	1180
PON1	2832
RPSAP32	526
GPR35	5089
PRG4	5044
AC118345.1	366
PCDHGA2	6724
MMP3	2048
RNU1-84P	164
RP11-1072C15.7	325
RNU6-302P	107
CTC-523E23.1	2757
TULP2	2240
CTD-2015B23.2	877
SNORA81	178
DCDC1	13160
RP11-411G7.2	594
RP5-1014O16.1	275
SLC25A1P2	912
AC006452.2	69
CICP14	2732
RP11-500M8.7	818
S100A12	518
ECEL1	2972
RPS15AP17	390
RP11-390F10.3	298
RP11-573J24.1	730
RPLP0P7	667
OSBPL9P4	1800
RP11-296O14.1	316
ZNF248	7289
MORN1	11337
CREM	5699
CTD-2090I13.3	451
MORF4L1P5	961
RP11-63G10.3	535
RPL31P58	379
RP13-612N21.1	521
RP11-395N6.4	341
ANKRD33B-AS1	522
MIR383	73
ZDHHC6	3748
CTD-2509G16.3	587
ZNF98	3291
RP11-666O2.5	400
AC068706.1	150
RP11-514O12.4	600
CTC-340A15.1	451
CSPG4	8290
RP11-301N24.3	469
RP11-30K9.1	476
RP11-141O11.1	417
CALML5	859
RNU1-47P	163
RP11-11N5.3	432
BNIP3P20	578
TNNT2	7259
RPL10AP3	651
SNORA23	182
BIN3	5072
NAV2-AS3	598
B3GNT4	4690
RP11-48L13.1	368
AP001631.1	100
NUDT1	2093
RP11-1006G14.5	426
PAGE2	661
RP11-884K10.6	256
ANKRD20A1	3887
RP11-45A12.2	628
IGHVII-40-1	58
CTD-2024P10.1	407
MUPP	566
DNM1P47	15281
TMED6	1411
RP11-325L7.1	1253
LYZ	1764
SNORD19B	80
RP11-97N10.1	735
RPL5P20	896
RP11-357J22.1	424
RP11-78E6.1	836
LOH12CR2	1540
AL136456.1	99
RP11-450H5.4	268
RN7SKP295	153
RP11-656G20.1	3048
VAC14	8276
RP11-1260E13.1	432
RNU6-621P	109
STX17	4740
AC009065.2	107
OR5L2	936
RP11-613F22.6	433
DMD-AS3	293
RP11-165N19.2	450
SAP30	1320
MIR943	94
OR7E161P	967
ISG20L2	5262
RN7SL445P	293
RN7SL45P	298
PART1_2	250
RP11-710F7.2	584
ZFYVE19	4779
RP11-7C6.1	357
AC092104.1	83
MIR519D	88
RP11-115D19.3	514
RN7SKP157	282
FGFR3P1	601
RP11-94B19.5	594
RP11-981G7.3	489
SDCBPP1	890
RP11-323H21.3	829
RN7SL543P	299
RNU6-901P	106
RP11-296E23.1	679
STOX1	3568
MIR1323	73
NR2F1	4201
ZNF566	6481
OR10A6	1030
KRTAP1-5	1177
NAA30	7653
RP11-403I13.8	6056
PHKG1P4	370
RP11-815J21.3	568
RP11-270L13.1	574
AL391001.1	136
PTGS2	5269
RP11-374M1.4	492
RP11-24H1.1	512
AC021188.4	740
TDRD15	6135
SPZ1	1945
ATF4P4	2136
RP11-643G5.1	399
POU5F1P2	823
RNF220	9687
OR8A2P	952
RP11-572P18.2	876
ASNSP1	1807
SNHG6	1247
PMS2L2	1128
MLLT10P2	249
AL158154.2	92
UBE2Z	5753
RP11-356C4.6	1804
GSTO3P	718
RP11-548K12.10	278
RN7SKP178	329
RP11-114M5.1	1779
DUTP2	463
VRK1	2744
AL590822.1	74
CDY22P	1554
MMP8	3438
ZNF132	3404
NPPB	694
COX6A1P3	293
MIR4518	83
LINC01030	738
EEF1A1P27	1135
MIR6865	65
APTR	3100
FOCAD	10036
LINC00680	2969
RIMKLBP2	654
ICA1	4891
MIR4659B	81
SLC6A18	2121
RP11-47J17.3	489
SLC5A10	6451
OSBPL5	7466
AL121652.3	89
RP11-308D16.1	386
TCEA1P1	880
C11orf53	1205
RN7SL76P	289
RP11-1079K10.3	881
AC024084.2	105
MYCNOS	2413
WIF1	2368
RP11-338C15.5	2225
FGFR4	4829
AP002954.3	1388
AC013268.4	337
RP11-316O14.1	636
RP11-567L7.5	215
RP11-308D13.3	1098
RP11-727A23.4	905
AC108867.1	92
TRIM25	6666
AP000577.2	878
RNU6-981P	105
RP11-432N13.2	1432
OR1J2	942
RP11-298A8.2	217
AC013737.1	52
RP11-497J7.2	981
MBOAT1	1794
CRB3	1592
MCF2L-AS1	712
RP11-553K8.5	416
EGLN3-AS1	308
XPO4	10500
ZNF350	4539
RP5-1024N4.2	270
SEC14L3	3663
MSRA	4162
TMEM30A	5123
AC007041.2	1155
LL09NC01-251B2.3	974
RP11-466H18.1	321
HBM	916
AC007279.2	837
RP1-5O6.6	6800
RP11-174N3.4	179
RNU2-22P	212
ECHDC3	2185
ISM1-AS1	652
AC019100.3	611
RP11-253E3.3	3514
RPL7P1	747
RNU6-1165P	107
RP1-62D2.4	303
SNORA27	126
FBXO6	1811
AC092839.3	536
ZGRF1	9103
NLGN2	5550
CH17-472G23.1	853
RP11-205K6.1	719
C8orf76	2467
TRGV3	537
OR5BC1P	739
DDR1	9122
RP11-338L18.1	328
RP11-439K3.4	109
SPDYE8P	2281
CTD-2522B17.8	208
AC073109.2	978
MIR8075	80
RNA5SP377	112
RPL17P40	413
RP11-398A8.4	496
RPS3AP41	778
RP11-330C7.4	156
NPHP3-AS1	5215
MIR6741	63
RP11-40G16.1	586
RP11-185B14.1	369
CDH6	12379
MIR7850	79
RP11-422P24.11	1418
SPI1	2069
SLC16A6P1	1059
MIR181D	137
PGBD4	6612
REC8	3844
TUBB4B	2111
CTD-2547H18.1	568
AL583784.1	74
ZNF780A	7972
SLC25A5P7	896
RP11-259K5.1	1210
GULOP	748
WDR64	4939
RNU6-788P	104
OR5AQ1P	936
RHOQ	4619
RNU6-808P	108
RP11-552O4.2	913
AL118506.2	72
RP11-388N2.1	751
RP1-140K8.2	371
RP11-411K7.1	3227
RP11-472I20.1	471
CICP26	2448
RP3-334F4.1	884
AL359955.1	82
BPI	5626
RP11-219A15.4	3243
RN7SL864P	285
AC093786.1	84
CTD-2308G16.1	581
AC006326.3	787
MIR502	86
MIR5000	103
ZNF778	11273
PRB2	1793
DIO2	7494
DEFA10P	288
AC069499.1	48
RP11-130C6.1	303
RP11-641A6.8	495
SNX18P25	758
RP13-514E23.1	1579
CTD-3214H19.16	777
HNRNPKP3	2513
LINC01396	527
RP11-237N19.3	527
SGCB	4541
GC	2381
PLIN1	3797
HTR1F	3140
PAGE2B	507
MIR6815	61
AC006000.5	842
LINC00293	1914
FBXO28	6044
PDIA3	4240
OR4G1P	937
RPF2	3922
RP11-74K11.1	1261
LCN1P2	223
APPL1	7033
AC079896.1	488
CTD-2528A14.1	405
CTC-303L1.2	409
UPF2	5906
